"sn","hour_utc","pm25","pm25_cal","pm10","pm1","o3","o3_cal","co","no2","rh","temp","n_obs","pm_status","hour_complete"
"MOD-00556","2026-07-30 16:00:00",6.75366666666667,5.09754655,22.7198333333333,5.4275,39.7211666666667,0.029536088,170.950833333333,5.06966666666667,20.2433333333333,43.6583333333333,60,"ok",TRUE
"MOD-00556","2026-07-30 17:00:00",5.46491525423729,3.50726791525424,12.8918644067797,4.61915254237288,47.2661016949153,0.0360549118644068,28.5716949152542,5.43881355932203,15.6101694915254,46.5254237288135,59,"ok",TRUE
"MOD-00556","2026-07-30 18:00:00",4.91983333333333,3.00603971666666,8.705,4.2025,48.8546666666667,0.037427432,161.823,8.32616666666667,15.5166666666667,46.495,60,"ok",TRUE
"MOD-00556","2026-07-30 19:00:00",4.80733333333333,2.82181096666667,8.08366666666667,4.16016666666667,50.0683333333333,0.03847604,243.979666666667,12.3193333333333,15.4066666666667,46.7683333333333,60,"ok",TRUE
"MOD-00556","2026-07-30 20:00:00",4.26659574468085,2.25206069311215,6.5968085106383,3.70829787234042,50.2835593220339,0.0386619952542373,245.680338983051,10.0893220338983,14.1067796610169,48.271186440678,59,"ok",TRUE
"MOD-00556","2026-07-30 21:00:00",NA,NA,NA,NA,52.6188333333333,0.040679672,253.412833333333,11.6185,12.6866666666667,49.48,60,"thermal_cutoff",TRUE
"MOD-00556","2026-07-30 22:00:00",NA,NA,NA,NA,54.2633333333333,0.04210052,294.2895,14.2043333333333,12.2283333333333,50.0683333333333,60,"thermal_cutoff",TRUE
"MOD-00556","2026-07-30 23:00:00",NA,NA,NA,NA,52.466,0.040547624,361.2305,15.9728333333333,12.4433333333333,49.31,60,"thermal_cutoff",TRUE
"MOD-00556","2026-07-31 00:00:00",3.78444444444444,1.97079468518519,7.17851851851852,3.24222222222222,49.272,0.037788008,457.237166666667,11.6973333333333,13.7516666666667,47.0966666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 01:00:00",3.96983333333333,2.49005543333333,7.1235,3.28566666666667,46.213,0.035145032,561.2605,18.5406666666667,16.0533333333333,43.9166666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 02:00:00",4.00366666666667,2.64409193333333,9.02733333333333,3.36433333333333,43.032,0.032396648,562.900833333333,21.0403333333333,18.3483333333333,40.4566666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 03:00:00",4.171,2.98564681666667,9.69883333333333,3.44716666666667,41.3466666666667,0.03094052,541.467833333333,13.6078333333333,20.1416666666667,38.4933333333333,60,"ok",TRUE
"MOD-00556","2026-07-31 04:00:00",4.69783333333333,3.60262781666666,22.0223333333333,3.73616666666667,39.9878333333333,0.029766488,541.581333333333,11.1391666666667,21.6316666666667,37.2366666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 05:00:00",4.19333333333333,3.10370908333333,11.1191666666667,3.47583333333333,37.7265,0.027812696,552.545833333333,9.77283333333333,22.5716666666667,36.3,60,"ok",TRUE
"MOD-00556","2026-07-31 06:00:00",4.01483333333333,3.04160308333333,9.71766666666667,3.302,37.022,0.027204008,421.146833333333,7.707,20.6366666666667,35.77,60,"ok",TRUE
"MOD-00556","2026-07-31 07:00:00",6.21766666666667,6.39336271666667,42.4598333333333,3.89483333333333,49.0528333333333,0.037598648,561.555,38.358,33.0083333333333,34.145,60,"ok",TRUE
"MOD-00556","2026-07-31 08:00:00",3.124,2.16799375,7.1905,2.69633333333333,46.2936666666667,0.035214728,564.599833333333,16.8823333333333,37.8083333333333,32.155,60,"ok",TRUE
"MOD-00556","2026-07-31 09:00:00",3.14383333333333,2.2189869,6.03983333333333,2.72716666666667,44.5531666666667,0.033710936,526.5335,8.82533333333333,41.155,31.18,60,"ok",TRUE
"MOD-00556","2026-07-31 10:00:00",3.35666666666667,2.46284188333333,7.50083333333333,2.861,42.335,0.03179444,491.546,5.9805,41.7966666666667,31.0216666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 11:00:00",3.92016666666667,3.09303016666667,10.2391666666667,3.25016666666667,34.8651666666667,0.025340504,469.973666666667,5.6455,42.2633333333333,30.4716666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 12:00:00",3.94966666666667,3.0649811,10.9243333333333,3.343,33.3891666666667,0.02406524,520.067833333333,5.746,44.8883333333333,29.4683333333333,60,"ok",TRUE
"MOD-00556","2026-07-31 13:00:00",3.24416666666667,2.42407813333333,9.86983333333333,2.718,41.594,0.031154216,462.702166666667,5.71383333333333,42.4116666666667,30.5666666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 14:00:00",3.444,2.47550216666667,10.098,2.78383333333333,41.9653333333333,0.031475048,411.469,6.47383333333333,32.5516666666667,35.7266666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 15:00:00",4.13616666666667,2.82341768333333,14.3583333333333,3.314,43.2881666666667,0.032617976,249.1505,6.74833333333333,24.3033333333333,41.2166666666667,60,"ok",TRUE
"MOD-00556","2026-07-31 16:00:00",4.4105,2.79451486666667,9.75083333333333,3.66783333333333,45.8751666666667,0.034853144,89.9456666666667,5.15466666666666,18.3816666666667,44.3783333333333,60,"ok",TRUE
"MOD-00556","2026-07-31 17:00:00",4.99627118644068,3.66461452542373,22.1977966101695,3.77,47.0694915254237,0.0358850406779661,115.998474576271,6.05474576271187,15.0440677966102,45.5237288135593,59,"ok",TRUE
"MOD-00556","2026-07-31 18:00:00",4.97183333333333,3.6057429,17.2168333333333,3.802,47.9361666666667,0.036633848,249.276,8.19466666666667,14.7833333333333,45.91,60,"ok",TRUE
"MOD-00556","2026-07-31 19:00:00",4.65416666666667,3.15802743333333,18.2165,3.65066666666667,47.0081666666667,0.035832056,329.534833333333,12.2846666666667,14.8133333333333,45.725,60,"ok",TRUE
"MOD-00556","2026-07-31 20:00:00",4.25,2.69317093220339,10.4959322033898,3.40728813559322,48.0910169491525,0.0367676386440678,281.550677966102,11.9757627118644,13.7203389830508,46.6915254237288,59,"ok",TRUE
"MOD-00556","2026-07-31 21:00:00",4.4435,2.69607996666667,13.7391666666667,3.59616666666667,51.7598333333333,0.039937496,290.019666666667,12.4973333333333,12.8933333333333,48.26,60,"ok",TRUE
"MOD-00556","2026-07-31 22:00:00",4.57714285714286,3.06311807142857,14.405,3.49892857142857,53.441,0.041390024,305.496166666667,14.0376666666667,12.37,48.825,60,"ok",TRUE
"MOD-00556","2026-07-31 23:00:00",NA,NA,NA,NA,53.7596666666667,0.041665352,403.943,14.475,13.0833333333333,47.7916666666667,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 00:00:00",5.18155172413793,3.99841406896552,17.3543103448276,3.80844827586207,54.3068333333333,0.042138104,449.232333333333,13.3498333333333,13.3433333333333,46.52,60,"ok",TRUE
"MOD-00556","2026-08-01 01:00:00",5.3125,4.03278551666667,16.8526666666667,4.0975,51.7821666666667,0.039956792,497.7745,14.439,14.335,44.115,60,"ok",TRUE
"MOD-00556","2026-08-01 02:00:00",5.05508474576271,4.07197883050847,20.0708474576271,3.80525423728814,46.5722033898305,0.0354553837288136,553.899322033898,21.2683050847458,17.1881355932203,40.6813559322034,59,"ok",TRUE
"MOD-00556","2026-08-01 03:00:00",5.64816666666667,4.61742906666667,17.0261666666667,4.40383333333333,44.674,0.033815336,533.215,14.5858333333333,18.48,38.9616666666667,60,"ok",TRUE
"MOD-00556","2026-08-01 04:00:00",5.09716666666667,4.35643853333333,17.5965,3.8065,43.0073333333333,0.032375336,526.4505,11.1096666666667,19.9366666666667,37.83,60,"ok",TRUE
"MOD-00556","2026-08-01 05:00:00",5.20083333333333,4.6463487,17.3838333333333,3.81216666666667,40.4956666666667,0.030205256,529.909166666667,9.63666666666667,21.59,36.425,60,"ok",TRUE
"MOD-00556","2026-08-01 06:00:00",4.78766666666667,4.31029605,16.2348333333333,3.44816666666667,41.8421666666667,0.031368632,448.050333333333,7.74166666666667,20.8866666666667,36.4483333333333,60,"ok",TRUE
