sn,hour_utc,n_obs,ws_mean,u_mean,v_mean
MOD-00557,2026-08-13 09:00:00,60,1.0928333333333335,0.9305727840175594,-0.08949034400901618
MOD-00557,2026-08-13 10:00:00,60,2.4011666666666667,1.6680129826821675,1.406500020479101
MOD-00557,2026-08-13 11:00:00,60,2.8954999999999997,2.629745733688578,1.1084026180814663
MOD-00557,2026-08-13 12:00:00,60,5.303999999999999,4.371313337166422,2.892200451589429
MOD-00557,2026-08-13 13:00:00,60,5.470666666666667,4.571804540126222,2.963847336456048
MOD-00557,2026-08-13 14:00:00,60,5.469833333333332,4.021342262677463,3.5614023699520443
MOD-00557,2026-08-13 15:00:00,60,6.128999999999997,4.886135409241955,3.5316330235141535
MOD-00557,2026-08-13 16:00:00,60,5.438666666666666,4.701600328308756,2.2421474697962465
MOD-00557,2026-08-13 17:00:00,60,6.657166666666666,6.161023051463785,1.3853442940439131
MOD-00557,2026-08-13 18:00:00,60,6.673666666666667,6.133412409655758,0.9487429130268005
MOD-00557,2026-08-13 19:00:00,60,6.074833333333332,5.366488326762442,-1.6467923605269543
MOD-00557,2026-08-13 20:00:00,60,6.7139999999999995,5.90184709441726,2.5080773306885464
MOD-00557,2026-08-13 21:00:00,60,6.920166666666669,6.122418111684244,1.0289470148491977
MOD-00557,2026-08-13 22:00:00,60,6.5585,5.4140738726321125,-1.3572834174232615
MOD-00557,2026-08-13 23:00:00,60,6.412833333333334,5.610656335664864,-1.5784826894660826
MOD-00557,2026-08-14 00:00:00,60,8.277999999999999,6.881056294057051,-4.070686122434318
MOD-00557,2026-08-14 01:00:00,60,7.704166666666666,6.523058984040585,-3.604510237514523
MOD-00557,2026-08-14 02:00:00,60,5.382,4.632535279813376,-2.4976627202470825
MOD-00557,2026-08-14 03:00:00,60,4.420666666666667,3.831859988915414,-1.840894660235098
MOD-00557,2026-08-14 04:00:00,60,3.279833333333334,3.0285202937006757,-0.07288094182189415
MOD-00557,2026-08-14 05:00:00,60,4.097,3.720388112752342,1.6071453649367533
MOD-00557,2026-08-14 06:00:00,60,4.413000000000001,4.161625956448107,1.331312139712111
MOD-00557,2026-08-14 07:00:00,60,3.8685,3.671489197813159,0.4747146892093388
MOD-00557,2026-08-14 08:00:00,60,4.727,4.4584981832235995,1.098592072335466
MOD-00557,2026-08-14 09:00:00,60,3.9611666666666663,3.6589014517955616,-0.0036569151469429146
MOD-00557,2026-08-14 10:00:00,60,4.461833333333335,4.205816051513064,1.3190088437617602
MOD-00557,2026-08-14 11:00:00,60,3.1853333333333333,3.0981413180648985,0.17805744331544063
MOD-00557,2026-08-14 12:00:00,60,3.5829999999999993,3.414601923702844,0.9569200087395313
MOD-00557,2026-08-14 13:00:00,60,3.884,2.5229022654943005,2.6214009862231413
MOD-00557,2026-08-14 14:00:00,60,4.943000000000001,4.15910819821981,2.51606301677806
MOD-00557,2026-08-14 15:00:00,60,6.331333333333333,4.724586997813501,4.114050187698212
MOD-00557,2026-08-14 16:00:00,60,5.754000000000001,3.0759541259952954,4.7285245620498975
MOD-00557,2026-08-14 17:00:00,60,5.771999999999998,5.047518210074642,1.6121784811673523
MOD-00557,2026-08-14 18:00:00,60,5.563000000000001,4.935866081950036,-0.8070725564246456
MOD-00557,2026-08-14 19:00:00,60,4.316666666666667,3.972315720462403,0.061803134929124356
MOD-00557,2026-08-14 20:00:00,60,4.718333333333334,3.8258404866948315,-0.3775816395589788
MOD-00557,2026-08-14 21:00:00,60,4.996166666666666,3.6606522760210587,-1.5702164719305065
MOD-00557,2026-08-14 22:00:00,60,4.6308333333333325,3.0347050929888177,-3.099478265739901
MOD-00557,2026-08-14 23:00:00,60,5.444666666666666,4.435814093076359,-2.8199178169019135
MOD-00557,2026-08-15 00:00:00,60,6.151999999999999,5.128129306835663,-3.0919346595764763
MOD-00557,2026-08-15 01:00:00,60,4.924333333333336,4.226305234820701,-2.2508101603029074
MOD-00557,2026-08-15 02:00:00,60,3.5041666666666655,3.096867433098637,-1.2585700240393896
MOD-00557,2026-08-15 03:00:00,60,3.8280000000000007,3.191478405268894,-1.9087480267607924
MOD-00557,2026-08-15 04:00:00,60,2.819833333333334,2.3264761654699035,-0.5503142950909559
MOD-00557,2026-08-15 05:00:00,60,2.034666666666667,1.7668458268614076,0.5988787274836335
MOD-00557,2026-08-15 06:00:00,60,2.5698333333333334,2.4454474636515307,0.6581055367636863
MOD-00557,2026-08-15 07:00:00,60,2.954666666666667,2.837529099881478,0.7601161384732104
MOD-00557,2026-08-15 08:00:00,60,1.7206666666666663,1.5704191900697642,0.10343758936156074
MOD-00557,2026-08-15 09:00:00,60,2.127500000000001,1.5938544320173764,0.8111481972534803
MOD-00557,2026-08-15 10:00:00,60,0.9828333333333334,0.5132207982043799,0.12568883249827517
MOD-00557,2026-08-15 11:00:00,52,1.500192307692308,1.4247810464165753,0.42627584438995014
MOD-00557,2026-08-15 12:00:00,60,0.9158333333333334,0.7190040075137688,-0.09156054236700978
MOD-00557,2026-08-15 13:00:00,60,0.7946666666666666,0.650727363124411,0.024691436936838604
MOD-00557,2026-08-15 14:00:00,60,1.876,1.6606993861727444,0.285665499585266
MOD-00557,2026-08-15 15:00:00,60,2.2775000000000003,1.772519873491931,0.2554735981328624
MOD-00557,2026-08-15 16:00:00,60,2.695,0.944919150681803,1.9666626818948478
MOD-00557,2026-08-15 17:00:00,59,4.636949152542373,-1.465859568896465,4.021804833592502
MOD-00557,2026-08-15 18:00:00,60,4.9295,1.2272208354558232,3.7027761657508846
MOD-00557,2026-08-15 19:00:00,60,4.191833333333333,1.8080959781041264,0.9856010009368136
MOD-00557,2026-08-15 20:00:00,59,4.01915254237288,0.08262353385922962,0.9848203989926281
MOD-00557,2026-08-15 21:00:00,60,4.5215,2.97694160856917,0.6923248781444211
MOD-00557,2026-08-15 22:00:00,60,4.8264999999999985,3.6805186178491165,-1.2274173332754827
MOD-00557,2026-08-15 23:00:00,60,3.938833333333332,-0.5051483277615205,-1.8152593858193762
MOD-00557,2026-08-16 00:00:00,60,3.144166666666668,2.1686685771033436,-0.7867938203678615
MOD-00557,2026-08-16 01:00:00,60,4.969833333333335,2.534767676263313,-3.98086901286616
MOD-00557,2026-08-16 02:00:00,60,7.158999999999998,5.591405730630115,-4.327285179136345
MOD-00557,2026-08-16 03:00:00,60,6.308833333333336,5.238374927799326,-3.4509714737618884
MOD-00557,2026-08-16 04:00:00,60,4.298833333333334,3.8847285194007672,-0.5196448932525359
MOD-00557,2026-08-16 05:00:00,60,3.8598333333333317,3.572203514670963,-0.6614344890065813
MOD-00557,2026-08-16 06:00:00,60,3.608000000000001,3.046634711921837,-1.5549472213131745
MOD-00557,2026-08-16 07:00:00,60,1.9218333333333333,1.7049272742765678,-0.05112843426524285
MOD-00557,2026-08-16 08:00:00,60,1.7138333333333335,1.5076432718582997,0.22646048659661383
MOD-00557,2026-08-16 09:00:00,60,2.3208333333333337,1.7569594501872579,1.429241482509387
MOD-00557,2026-08-16 10:00:00,60,1.3390000000000002,1.2461921880322133,0.40975167750044894
MOD-00557,2026-08-16 11:00:00,60,0.9968333333333335,0.8339829004197274,0.4408381740490703
MOD-00557,2026-08-16 12:00:00,60,1.4868333333333337,1.2485899357163361,0.6415167601427424
MOD-00557,2026-08-16 13:00:00,60,2.0739999999999994,1.2570722568954127,1.5325556524646748
MOD-00557,2026-08-16 14:00:00,60,2.3585,1.4486681268214396,1.7277575594670085
MOD-00557,2026-08-16 15:00:00,60,2.370166666666667,1.4374493331148548,1.1873231392529158
MOD-00557,2026-08-16 16:00:00,59,2.3994915254237297,0.7487005671102394,1.2643967479715623
MOD-00557,2026-08-16 17:00:00,60,2.428666666666666,-1.148720090748982,0.08979430877480538
MOD-00557,2026-08-16 18:00:00,60,3.2801666666666653,-1.5869771782025996,1.0785419636958649
MOD-00557,2026-08-16 19:00:00,60,5.922833333333333,2.421603466362501,3.866899492237428
MOD-00557,2026-08-16 20:00:00,59,3.7369491525423713,-0.850963621197888,1.0964862810405556
MOD-00557,2026-08-16 21:00:00,60,4.757500000000002,3.741234401521204,1.9171859130960274
MOD-00557,2026-08-16 22:00:00,60,3.3281666666666676,-0.6948751999262226,-1.2502591331544946
MOD-00557,2026-08-16 23:00:00,60,3.6053333333333337,-0.4180609542287431,0.5404507027872558
MOD-00557,2026-08-17 00:00:00,59,3.4725423728813567,-1.4323004910944577,-1.6604964609226764
MOD-00557,2026-08-17 01:00:00,60,3.8808333333333334,-0.271096074876364,-3.7244156426346353
MOD-00557,2026-08-17 02:00:00,60,2.943166666666668,1.3435876822947128,-2.4016219940758377
MOD-00557,2026-08-17 03:00:00,60,4.522333333333331,3.183150494130316,-3.081140282205713
MOD-00557,2026-08-17 04:00:00,60,1.8558333333333328,1.2723484136750145,-1.080233616308167
MOD-00557,2026-08-17 05:00:00,60,2.997833333333334,2.684579390338021,0.031183295461679403
MOD-00557,2026-08-17 06:00:00,60,1.4244999999999994,0.8761584985921381,0.5715037948088343
MOD-00557,2026-08-17 07:00:00,60,0.9231666666666665,0.5351573289896056,0.21937984792946227
MOD-00557,2026-08-17 08:00:00,60,0.8806666666666666,0.5316050491342708,0.2542893258288365
MOD-00557,2026-08-17 09:00:00,60,1.461166666666667,1.271904694629502,0.5447977424423894
MOD-00557,2026-08-17 10:00:00,60,1.1628333333333332,1.0502418970420375,0.13324292045613156
MOD-00557,2026-08-17 11:00:00,60,1.5305000000000002,1.4633059404863464,0.39746702207108725
MOD-00557,2026-08-17 12:00:00,60,1.5425000000000004,1.4759849282538446,0.3693753635457627
MOD-00557,2026-08-17 13:00:00,60,0.7603333333333332,0.5541785430092304,-0.0680442143879302
MOD-00557,2026-08-17 14:00:00,60,0.4596666666666667,0.06826193262102802,0.13159511261360596
MOD-00557,2026-08-17 15:00:00,60,2.035333333333333,-1.2943242355765927,-0.5231872810251736
MOD-00557,2026-08-17 16:00:00,60,2.7713333333333323,-2.2638816428461563,-1.0735295889082936
MOD-00557,2026-08-17 17:00:00,59,3.325423728813559,-2.5365295177940377,-0.5177358220133017
MOD-00557,2026-08-17 18:00:00,60,3.577999999999999,-1.795549457517322,-1.172339772076153
MOD-00557,2026-08-17 19:00:00,60,3.9465,-2.4942975602839708,-0.26418933975672715
MOD-00557,2026-08-17 20:00:00,59,5.147288135593222,0.8261686583205278,1.7290149650266888
MOD-00557,2026-08-17 21:00:00,60,5.314499999999997,-0.6649720515440344,1.4611472960335792
MOD-00557,2026-08-17 22:00:00,60,4.710666666666664,-1.8628557619265471,-3.821756946357325
MOD-00557,2026-08-17 23:00:00,60,4.139333333333333,-0.7778428748849223,-2.777443161401031
MOD-00557,2026-08-18 00:00:00,60,4.550166666666665,-1.42539608162209,-2.831548933519577
MOD-00557,2026-08-18 01:00:00,60,5.333333333333333,-2.922654180286007,-4.324595909145276
MOD-00557,2026-08-18 02:00:00,60,3.801999999999999,-2.1335002083284396,-3.1151030586565662
MOD-00557,2026-08-18 03:00:00,60,2.755333333333333,-0.3607713670775264,-2.692036128166548
MOD-00557,2026-08-18 04:00:00,60,1.2768333333333335,0.7007483787833094,-0.49942013889620157
MOD-00557,2026-08-18 05:00:00,60,2.3521666666666663,0.35811873864082566,-2.244488618776441
MOD-00557,2026-08-18 06:00:00,60,1.0278333333333334,0.37150017180323386,-0.10503179278298752
MOD-00557,2026-08-18 07:00:00,60,1.7395000000000003,0.9589384307832638,1.1467762840771207
MOD-00557,2026-08-18 08:00:00,60,1.3578333333333334,1.0428641490274477,-0.008706570155285169
MOD-00557,2026-08-18 09:00:00,60,0.9865,0.8637834768966457,0.09074266505619082
MOD-00557,2026-08-18 10:00:00,60,0.9606666666666666,0.7929698430292759,-0.13773851329930978
MOD-00557,2026-08-18 11:00:00,60,1.1271666666666669,1.0337755932784491,0.19547905076107366
MOD-00557,2026-08-18 12:00:00,60,5.089833333333332,4.3343032809057584,-1.717984571681901
MOD-00557,2026-08-18 13:00:00,58,4.952931034482758,4.532658513109879,-0.2158217866351665
MOD-00557,2026-08-18 14:00:00,60,5.501833333333334,5.177784178321327,0.7120899830688852
MOD-00557,2026-08-18 15:00:00,59,6.566949152542374,5.842263729742088,-1.6103576267893458
MOD-00557,2026-08-18 16:00:00,60,5.477166666666668,4.967636816745258,-1.1552412561835474
MOD-00557,2026-08-18 17:00:00,60,5.525833333333332,4.660693540869053,1.6722755587805282
MOD-00557,2026-08-18 18:00:00,60,4.153833333333333,2.5974736355989116,1.0743257691835042
MOD-00557,2026-08-18 19:00:00,59,3.965254237288136,-1.426249650217334,-2.312200226272597
MOD-00557,2026-08-18 20:00:00,60,3.992833333333333,-2.036903078678441,-1.9292315253300847
MOD-00557,2026-08-18 21:00:00,60,3.1670000000000003,1.2794638936324,-1.22139161526142
MOD-00557,2026-08-18 22:00:00,60,4.448333333333334,-1.571098101009404,-2.9430690468619574
MOD-00557,2026-08-18 23:00:00,60,4.238166666666668,-0.8654876690734744,-3.4463034683919216
MOD-00557,2026-08-19 00:00:00,59,4.945593220338984,-2.327687286916075,-3.7358915009280804
MOD-00557,2026-08-19 01:00:00,60,5.911333333333332,-2.908771271996493,-4.98708221095893
MOD-00557,2026-08-19 02:00:00,60,5.299666666666668,1.767429680852073,-4.087171604789153
MOD-00557,2026-08-19 03:00:00,60,8.037166666666668,6.72506884962831,-4.194794606445908
MOD-00557,2026-08-19 04:00:00,60,6.213166666666668,5.5941450178828855,-1.2067276009429742
MOD-00557,2026-08-19 05:00:00,60,6.828666666666668,6.443431819966307,0.10856731546566493
MOD-00557,2026-08-19 06:00:00,60,7.595333333333333,7.06975688143551,2.4485905021847754
MOD-00557,2026-08-19 07:00:00,60,5.287166666666666,4.955692431621296,0.19088623434583227
MOD-00557,2026-08-19 08:00:00,60,5.160999999999999,4.904231806417207,0.5604208582864759
MOD-00557,2026-08-19 09:00:00,60,5.1883333333333335,4.698051580662525,-1.3833942721019639
MOD-00557,2026-08-19 10:00:00,59,4.902711864406781,4.653129375996808,0.15177354864898265
MOD-00557,2026-08-19 11:00:00,60,5.3905,5.099315325934685,0.9521269690582141
MOD-00557,2026-08-19 12:00:00,60,6.643000000000001,6.22853513318819,2.0895063563010483
MOD-00557,2026-08-19 13:00:00,60,7.374166666666667,6.695076210494962,2.976292246837889
MOD-00557,2026-08-19 14:00:00,60,8.476333333333335,7.483627367372179,3.8931856375231786
MOD-00557,2026-08-19 15:00:00,60,9.327166666666667,8.49983061618762,3.6613725338983913
MOD-00557,2026-08-19 16:00:00,60,8.037333333333333,7.353379491832505,2.875343931249559
MOD-00557,2026-08-19 17:00:00,60,6.061666666666666,5.473611195568081,0.7971007589877844
MOD-00557,2026-08-19 18:00:00,59,4.577627118644068,3.6406072688296183,1.3069513065304388
MOD-00557,2026-08-19 19:00:00,60,4.334333333333333,0.40837912194270576,2.5714575069281356
MOD-00557,2026-08-19 20:00:00,60,3.3950000000000005,1.4866319192157558,0.9108453329483818
MOD-00557,2026-08-19 21:00:00,59,3.983898305084745,-1.9743903800268665,-0.2282792769146244
MOD-00557,2026-08-19 22:00:00,60,4.958333333333333,0.28023036354935293,-4.102152376471965
MOD-00557,2026-08-19 23:00:00,60,5.067000000000001,-0.30655879124510943,-4.761821295122609
MOD-00557,2026-08-20 00:00:00,60,4.643500000000002,0.014646999721686808,-4.081139037569659
MOD-00557,2026-08-20 01:00:00,59,5.808474576271185,2.674015604232796,-4.527787226639323
MOD-00557,2026-08-20 02:00:00,60,9.704333333333333,6.236706332633732,2.805377899322977
MOD-00557,2026-08-20 03:00:00,60,5.539166666666668,5.171383176448365,1.0377586206086329
MOD-00557,2026-08-20 04:00:00,60,3.8293333333333326,1.622806330042438,2.6187514522010202
MOD-00557,2026-08-20 05:00:00,60,9.603000000000002,6.643235888233244,6.800639076505851
MOD-00557,2026-08-20 06:00:00,60,5.9625,5.263495461755336,0.3191717122364109
MOD-00557,2026-08-20 07:00:00,60,5.761833333333332,1.5145427597258418,3.576730435124331
MOD-00557,2026-08-20 08:00:00,60,4.800833333333333,1.5362153568567662,4.292775747951464
MOD-00557,2026-08-20 09:00:00,60,2.7936666666666667,-0.32768868147666264,2.1178298002528977
MOD-00557,2026-08-20 10:00:00,60,2.7620000000000005,-0.8966414570409058,1.7163219271396821
MOD-00557,2026-08-20 11:00:00,60,1.9994999999999998,-1.8494764202397298,-0.24446195910757657
MOD-00557,2026-08-20 12:00:00,60,2.472833333333333,-0.9235441162961426,-2.0622991673611355
MOD-00557,2026-08-20 13:00:00,59,4.961694915254238,-1.2507493883065586,-4.3166596353553
MOD-00557,2026-08-20 14:00:00,60,4.3309999999999995,-1.2653650565666443,-3.7565959355343117
MOD-00557,2026-08-20 15:00:00,60,3.6989999999999994,1.526549261314859,-2.2545656787344734
MOD-00557,2026-08-20 16:00:00,60,4.121333333333334,-0.9616667737935736,-1.7106116855832356
MOD-00557,2026-08-20 17:00:00,60,6.298500000000001,-2.8708981313968347,-5.3647993134720595
MOD-00557,2026-08-20 18:00:00,59,5.093389830508474,-3.650074426287689,-2.7975859372008025
MOD-00557,2026-08-20 19:00:00,60,6.266666666666665,-2.7851082961829285,-4.986029419171642
MOD-00557,2026-08-20 20:00:00,60,5.845000000000001,-0.7516680510765849,-5.44769126252462
MOD-00557,2026-08-20 21:00:00,59,5.402881355932203,-0.07700600452181579,-5.036602159831408
MOD-00557,2026-08-20 22:00:00,60,5.883333333333332,-1.5912017026533254,-5.3352610639902425
MOD-00557,2026-08-20 23:00:00,60,6.894666666666665,-2.621855317211716,-6.037988229740352
MOD-00557,2026-08-21 00:00:00,60,6.484833333333335,-1.7207469394835402,-5.979798809385893
MOD-00557,2026-08-21 01:00:00,59,6.185084745762711,-1.8484071515786675,-5.768587293935295
MOD-00557,2026-08-21 02:00:00,60,5.9938333333333365,-1.9854201716082627,-5.610091834897171
MOD-00557,2026-08-21 03:00:00,60,4.670333333333333,-1.403480537916543,-4.40322564581518
MOD-00557,2026-08-21 04:00:00,60,2.8653333333333344,-1.1251433807181015,-2.5849371363861104
MOD-00557,2026-08-21 05:00:00,60,0.9733333333333333,-0.7262055619605551,0.048854561050456775
MOD-00557,2026-08-21 06:00:00,60,0.7245,0.5433237477394891,0.15826148871878917
MOD-00557,2026-08-21 07:00:00,60,1.0578333333333334,0.9596439548977691,-0.1361123142536575
MOD-00557,2026-08-21 08:00:00,60,1.0591666666666666,0.9049387547811059,0.19995846757622757
MOD-00557,2026-08-21 09:00:00,60,1.1555000000000002,0.9561451084522836,-0.056511102835036235
MOD-00557,2026-08-21 10:00:00,60,0.8265,0.19335922346275175,-0.43328588874123697
MOD-00557,2026-08-21 11:00:00,60,0.5314999999999999,-0.01350728520661754,-0.18458861719021227
MOD-00557,2026-08-21 12:00:00,60,1.0483333333333333,0.6431103864983427,0.2974939148536993
MOD-00557,2026-08-21 13:00:00,60,0.877,0.81941991634265,0.09114762609738696
MOD-00557,2026-08-21 14:00:00,60,0.7798333333333332,-0.3233365750141593,0.3404149558993863
MOD-00557,2026-08-21 15:00:00,59,2.473559322033899,-2.2461044144457123,0.5411207362374054
MOD-00557,2026-08-21 16:00:00,60,2.7678333333333334,-1.9868845662058159,-1.2132995050069186
MOD-00557,2026-08-21 17:00:00,60,2.8064999999999993,-1.5592535949837487,-1.0798109259549744
MOD-00557,2026-08-21 18:00:00,60,3.640333333333333,-1.9586553479781206,-1.6100159310188593
MOD-00557,2026-08-21 19:00:00,59,3.9561016949152554,-1.7123063012100102,-1.6713805157117667
MOD-00557,2026-08-21 20:00:00,60,5.387499999999998,-2.6140513677011294,-2.413405131284469
MOD-00557,2026-08-21 21:00:00,60,4.6178333333333335,-2.451500175907774,-2.6599280975898894
MOD-00557,2026-08-21 22:00:00,60,4.514,-2.962063521967384,0.2335552935661413
MOD-00557,2026-08-21 23:00:00,60,4.810833333333333,-1.27665081408227,-4.048028299763411
MOD-00557,2026-08-22 00:00:00,59,6.246271186440678,-1.976756133106669,-5.513881381603474
MOD-00557,2026-08-22 01:00:00,60,5.886166666666666,-4.271365307785379,-3.745715006023568
MOD-00557,2026-08-22 02:00:00,60,11.264333333333333,3.7347722538672787,9.807884763648076
MOD-00557,2026-08-22 03:00:00,60,7.367500000000001,6.165671983405682,3.670573411437373
MOD-00557,2026-08-22 04:00:00,60,5.019666666666668,3.4362005136059808,2.4721440386124454
MOD-00557,2026-08-22 05:00:00,60,2.021,0.5086534439557818,-0.8081304935976257
MOD-00557,2026-08-22 06:00:00,60,1.3309999999999997,0.6879949947358949,0.7953154943241844
MOD-00557,2026-08-22 07:00:00,60,3.032999999999999,1.2187946600071884,2.4299279853870677
MOD-00557,2026-08-22 08:00:00,60,0.8291666666666665,0.5956813941256996,0.10362980384785944
MOD-00557,2026-08-22 09:00:00,59,1.499152542372881,0.9534454031394812,0.9069369486142528
MOD-00557,2026-08-22 10:00:00,60,1.9566666666666668,1.4637817001729923,1.0877719019472647
MOD-00557,2026-08-22 11:00:00,55,1.6119999999999994,1.4638270048616544,0.36699154656013555
MOD-00557,2026-08-22 12:00:00,57,1.6103508771929826,1.4940686812645727,0.5227814177412261
MOD-00557,2026-08-22 13:00:00,60,1.6544999999999994,1.4620564120756456,0.6556586646495606
MOD-00557,2026-08-22 14:00:00,60,2.585833333333334,2.428356957957115,0.8067195944446932
MOD-00557,2026-08-22 15:00:00,60,1.4056666666666666,0.21771802891354702,-0.292853431360052
MOD-00557,2026-08-22 16:00:00,60,3.3451666666666666,-2.578152298606133,-1.8215830689960866
MOD-00557,2026-08-22 17:00:00,59,4.454067796610169,-3.375740313454237,-1.3282024070969898
MOD-00557,2026-08-22 18:00:00,60,3.831166666666667,-2.7678372058200797,-0.8390225825784854
MOD-00557,2026-08-22 19:00:00,60,3.6844999999999994,-0.5076479463189796,0.7641496922464018
MOD-00557,2026-08-22 20:00:00,60,4.280166666666667,-0.9619261449717643,-2.7833045697506233
MOD-00557,2026-08-22 21:00:00,59,4.7076271186440675,-2.0255313364456677,-2.024349201195382
MOD-00557,2026-08-22 22:00:00,60,5.245166666666666,-1.1786209181720908,-2.489556792237473
MOD-00557,2026-08-22 23:00:00,60,6.227000000000001,-0.5512690476436898,-5.668141940654572
MOD-00557,2026-08-23 00:00:00,60,5.057833333333332,-1.2765762984522389,-4.653713441422025
MOD-00557,2026-08-23 01:00:00,60,4.749333333333333,0.5050983939200927,-4.535034368778375
MOD-00557,2026-08-23 02:00:00,60,1.9765,-0.18919436356637456,-1.8841973735877735
MOD-00557,2026-08-23 03:00:00,60,4.422000000000001,3.7547008364782846,-1.5423666024628593
MOD-00557,2026-08-23 04:00:00,59,3.2798305084745767,2.979155369899894,-0.8278498039691381
MOD-00557,2026-08-23 05:00:00,60,2.9959999999999996,2.7214154857514803,-0.45586041647820835
MOD-00557,2026-08-23 06:00:00,60,3.747333333333335,3.4839925757148573,0.919860453327031
MOD-00557,2026-08-23 07:00:00,60,3.2971666666666652,2.9273083149002868,0.272365759274915
MOD-00557,2026-08-23 08:00:00,60,3.6425,2.258566946616596,2.1972484501089293
MOD-00557,2026-08-23 09:00:00,60,1.8906666666666665,1.6899148455428488,0.6733533015818084
MOD-00557,2026-08-23 10:00:00,60,2.181833333333334,1.7713246535908667,-0.6748473933607585
